"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Sample Duration","Pollutant Standard","Date Local","Units of Measure","Event Type","Observation Count","Observation Percent","Arithmetic Mean","1st Max Value","1st Max Hour","AQI","Method Code","Method Name","Local Site Name","Address","State Name","County Name","City Name","CBSA Name","Date of Last Change"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-19","Millibars","None",24,100.0,754.854167,756,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-20","Millibars","None",24,100.0,754.866667,756.7,20,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-21","Millibars","None",24,100.0,757.220833,758,22,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-22","Millibars","None",24,100.0,758.004167,759.2,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-23","Millibars","None",24,100.0,755.475,757.1,8,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-24","Millibars","None",24,100.0,752.808333,753.6,0,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-25","Millibars","None",24,100.0,752.904167,754.5,22,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-26","Millibars","None",24,100.0,756.445833,757.6,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-27","Millibars","None",24,100.0,756.358333,757.6,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-28","Millibars","None",24,100.0,755.358333,756.8,21,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-29","Millibars","None",24,100.0,757.6,759.1,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-30","Millibars","None",24,100.0,755.783333,757,0,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-01-31","Millibars","None",24,100.0,755.270833,756.5,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-02-01","Millibars","None",24,100.0,754.704167,755.9,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-02-02","Millibars","None",24,100.0,752.9,753.8,0,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-02-03","Millibars","None",24,100.0,751.595833,753.2,23,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-02-04","Millibars","None",24,100.0,756.670833,759.6,22,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-02-05","Millibars","None",24,100.0,759.179167,760.2,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-02-06","Millibars","None",24,100.0,756.9875,758.2,9,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
"01","053","1000","64101",1,31.0921,-87.5435,"NAD83","Barometric pressure","1 HOUR","","2022-02-07","Millibars","None",24,100.0,756.229167,756.9,10,"","060","Instrumental - Vaisala 555B Pressure Sensor","PCI MET1","Jack Springs Rd","Alabama","Escambia","Not in a city","","2022-04-20"
